ID, Time, Condition, ROI_Average, P7, TP7, CP5
1,258.517034,1,1.980571,4.525873,0.684204,0.731637
1,260.521042,1,1.870885,4.414327,0.418468,0.779860
1,262.525050,1,1.712196,4.282225,0.115097,0.739265
1,264.529058,1,1.511617,4.131475,-0.206363,0.609740
1,266.533066,1,1.239560,3.921103,-0.528860,0.326438
1,268.537074,1,0.917104,3.676007,-0.836836,-0.087859
1,270.541082,1,0.593606,3.446668,-1.114124,-0.551725
1,272.545090,1,0.305671,3.255257,-1.329831,-1.008413
1,274.549098,1,0.076185,3.100073,-1.463826,-1.407692
1,276.553106,1,-0.116710,2.934957,-1.520884,-1.764204
1,278.557114,1,-0.308941,2.734873,-1.496019,-2.165675
1,280.561122,1,-0.501302,2.542912,-1.414234,-2.632582
1,282.565130,1,-0.634368,2.439939,-1.339055,-3.003988
1,284.569138,1,-0.651746,2.465323,-1.287086,-3.133476
1,286.573146,1,-0.562707,2.592298,-1.221594,-3.058827
1,288.577154,1,-0.414451,2.776455,-1.129660,-2.890149
1,290.581162,1,-0.255713,2.978695,-1.034198,-2.711638
1,292.585170,1,-0.113336,3.182200,-0.957909,-2.564298
1,294.589178,1,-0.019849,3.368750,-0.928130,-2.500168
1,296.593186,1,0.036236,3.558787,-0.937909,-2.512171
1,298.597194,1,0.106917,3.778673,-0.927750,-2.530173
1,300.601202,1,0.190175,3.991950,-0.868415,-2.553011
1,302.605210,1,0.272402,4.198046,-0.782558,-2.598282
1,304.609218,1,0.320873,4.388813,-0.726397,-2.699796
1,306.613226,1,0.297110,4.523286,-0.744668,-2.887287
1,308.617234,1,0.235320,4.610626,-0.816849,-3.087817
1,310.621242,1,0.189181,4.670475,-0.907537,-3.195394
1,312.625251,1,0.189119,4.730088,-0.995994,-3.166739
1,314.629259,1,0.229297,4.793049,-1.056465,-3.048691
1,316.633267,1,0.271824,4.809135,-1.061173,-2.932490
1,318.637275,1,0.289060,4.752602,-0.996673,-2.888748
1,320.641283,1,0.279496,4.657586,-0.889267,-2.929832
1,322.645291,1,0.277547,4.594948,-0.782613,-2.979694
1,324.649299,1,0.299362,4.598092,-0.700327,-2.999678
1,326.653307,1,0.307250,4.625162,-0.648253,-3.055160
1,328.657315,1,0.284523,4.648377,-0.620166,-3.174640
1,330.661323,1,0.258817,4.692703,-0.579707,-3.336544
1,332.665331,1,0.239273,4.767986,-0.499435,-3.550733
1,334.669339,1,0.224097,4.871853,-0.413723,-3.785839
1,336.673347,1,0.237699,5.016305,-0.347152,-3.956057
1,338.677355,1,0.290449,5.187562,-0.279069,-4.037145
1,340.681363,1,0.364397,5.355927,-0.211436,-4.051299
1,342.685371,1,0.454656,5.512808,-0.165013,-3.983827
1,344.689379,1,0.527583,5.616009,-0.159812,-3.873446
1,346.693387,1,0.501836,5.576728,-0.210885,-3.860336
1,348.697395,1,0.374580,5.398589,-0.300953,-3.973896
1,350.701403,1,0.185482,5.140663,-0.416332,-4.167886
1,352.705411,1,-0.076273,4.813690,-0.566518,-4.475991
1,354.709419,1,-0.422993,4.426678,-0.769713,-4.925943
1,356.713427,1,-0.803625,4.034917,-1.016925,-5.428866
1,358.717435,1,-1.136392,3.695686,-1.244014,-5.860848
1,360.721443,1,-1.409266,3.394516,-1.424668,-6.197646
1,362.725451,1,-1.623637,3.121335,-1.573678,-6.418568
1,364.729459,1,-1.727892,2.949748,-1.678730,-6.454695
1,366.733467,1,-1.706009,2.926846,-1.720860,-6.324013
1,368.737475,1,-1.583385,3.023174,-1.688468,-6.084862
1,370.741483,1,-1.384537,3.185687,-1.584736,-5.754561
1,372.745491,1,-1.166754,3.335731,-1.452279,-5.383715
1,374.749499,1,-0.950732,3.457207,-1.314865,-4.994537
1,376.753507,1,-0.690474,3.610780,-1.159824,-4.522377
1,378.757515,1,-0.389491,3.797027,-0.998513,-3.966987
1,380.761523,1,-0.164658,3.906277,-0.884610,-3.515640
1,382.765531,1,-0.097407,3.864457,-0.850380,-3.306297
1,384.769539,1,-0.136536,3.714058,-0.870469,-3.253196
1,386.773547,1,-0.223007,3.515209,-0.925390,-3.258841
1,388.777555,1,-0.342869,3.321015,-1.030150,-3.319473
1,390.781563,1,-0.481884,3.190416,-1.184732,-3.451337
1,392.785571,1,-0.635593,3.133938,-1.376965,-3.663751
1,394.789579,1,-0.818970,3.103267,-1.625437,-3.934740
1,396.793587,1,-1.026021,3.049072,-1.935997,-4.191139
1,398.797595,1,-1.232290,2.949991,-2.269080,-4.377779
1,400.801603,1,-1.421259,2.822354,-2.577731,-4.508400
1,402.805611,1,-1.581067,2.706947,-2.820334,-4.629815
1,404.809619,1,-1.692269,2.634927,-2.981649,-4.730084
1,406.813627,1,-1.757401,2.592935,-3.089419,-4.775719
1,408.817635,1,-1.797957,2.553289,-3.185342,-4.761817
1,410.821643,1,-1.817709,2.510670,-3.299304,-4.664493
1,412.825651,1,-1.819097,2.466100,-3.451254,-4.472136
1,414.829659,1,-1.812750,2.414751,-3.632519,-4.220482
1,416.833667,1,-1.814320,2.351043,-3.819791,-3.974211
1,418.837675,1,-1.821313,2.293817,-4.009465,-3.748291
1,420.841683,1,-1.850498,2.222146,-4.202659,-3.570982
1,422.845691,1,-1.942650,2.075535,-4.390908,-3.512578
1,424.849699,1,-2.105564,1.844736,-4.565142,-3.596287
1,426.853707,1,-2.341634,1.538150,-4.729658,-3.833396
1,428.857715,1,-2.622054,1.179954,-4.872425,-4.173690
1,430.861723,1,-2.880356,0.842757,-4.965101,-4.518725
1,432.865731,1,-3.086321,0.593781,-5.040694,-4.812051
